epoch,acc,loss,val_acc,val_loss
0,0.3725436,1.3213012974380358,0.4034582,1.2896654980326936
1,0.6465541,0.9756272501507328,0.6541787,0.9239452216742018
2,0.80680877,0.5660697238253254,0.685879,0.7933367466720449
3,0.8585663,0.3979650240936934,0.7002882,0.7817945875420694
4,0.8939939,0.30560045014812187,0.69164264,0.7875358398778294
5,0.9155826,0.24386329051862948,0.69452447,0.8846351629718924
6,0.93551064,0.20184217660654097,0.69164264,0.9527318079121174
7,0.94990313,0.16793479427897365,0.69452447,1.009573922377155
8,0.956269,0.14582947925157966,0.6887608,1.0515529666235537
9,0.9629117,0.1261639755075901,0.685879,1.0887257668058192
